external_urls/spotify,followers/href,followers/total,genres/0,genres/1,href,id,images/0/height,images/0/url,images/0/width,images/1/height,images/1/url,images/1/width,images/2/height,images/2/url,images/2/width,name,popularity,type,uri,genres/2,genres/3,genres/4,genres/5,genres/6,genres/7,genres/8,images/3/height,images/3/url,images/3/width,genres/9,genres/10
https://open.spotify.com/artist/12AUp9oqeJDhNfO6IhQiNi,,89914,korean pop,,https://api.spotify.com/v1/artists/12AUp9oqeJDhNfO6IhQiNi,12AUp9oqeJDhNfO6IhQiNi,640,https://i.scdn.co/image/ab67616d0000b27320d8b3c426601a9b6b2c38b5,640,300,https://i.scdn.co/image/ab67616d00001e0220d8b3c426601a9b6b2c38b5,300,64,https://i.scdn.co/image/ab67616d0000485120d8b3c426601a9b6b2c38b5,64,Lee Seung Gi,52,artist,spotify:artist:12AUp9oqeJDhNfO6IhQiNi,,,,,,,,,,,,
https://open.spotify.com/artist/0dX6tgZKWpamoFHFuXFhwd,,93047,k-rap,korean pop,https://api.spotify.com/v1/artists/0dX6tgZKWpamoFHFuXFhwd,0dX6tgZKWpamoFHFuXFhwd,640,https://i.scdn.co/image/ab67616d0000b273d346c05fde09cb521d943cf1,640,300,https://i.scdn.co/image/ab67616d00001e02d346c05fde09cb521d943cf1,300,64,https://i.scdn.co/image/ab67616d00004851d346c05fde09cb521d943cf1,64,Mad Clown,49,artist,spotify:artist:0dX6tgZKWpamoFHFuXFhwd,,,,,,,,,,,,
https://open.spotify.com/artist/5EiDVD35ofoSKq1KE0jcs8,,31479,kazakh pop,,https://api.spotify.com/v1/artists/5EiDVD35ofoSKq1KE0jcs8,5EiDVD35ofoSKq1KE0jcs8,640,https://i.scdn.co/image/e756072075ee18a67485bd070c6acc638bc0d60e,640,320,https://i.scdn.co/image/eb10d2ed627c99718e193b3f752e7bd7cf0075bd,320,160,https://i.scdn.co/image/3dfaaa7a630ad1334bfb7e51ac43f5ec338d4dba,160,Izzamuzzic,54,artist,spotify:artist:5EiDVD35ofoSKq1KE0jcs8,,,,,,,,,,,,
https://open.spotify.com/artist/1klFdLh3pak3eOtJP0styY,,491194,k-pop,,https://api.spotify.com/v1/artists/1klFdLh3pak3eOtJP0styY,1klFdLh3pak3eOtJP0styY,640,https://i.scdn.co/image/ab67616d0000b273a5def6103ccb607dbb9dabc9,640,300,https://i.scdn.co/image/ab67616d00001e02a5def6103ccb607dbb9dabc9,300,64,https://i.scdn.co/image/ab67616d00004851a5def6103ccb607dbb9dabc9,64,Triple H,46,artist,spotify:artist:1klFdLh3pak3eOtJP0styY,,,,,,,,,,,,
https://open.spotify.com/artist/6C4irZ60X8G7UimMRQiCcg,,298843,k-pop,,https://api.spotify.com/v1/artists/6C4irZ60X8G7UimMRQiCcg,6C4irZ60X8G7UimMRQiCcg,640,https://i.scdn.co/image/8ebddf70afa11d5448a3f8ea8559b943b7cec668,640,320,https://i.scdn.co/image/2cd7484b2371a338f599d7fdf29535b0ad5581e8,320,160,https://i.scdn.co/image/c4c56361cc00cb66768845d1af691ddc28d7fc73,160,X1,50,artist,spotify:artist:6C4irZ60X8G7UimMRQiCcg,,,,,,,,,,,,
https://open.spotify.com/artist/2QHTtUsN6Q13w3QHdfRqsK,,231059,k-pop,k-pop girl group,https://api.spotify.com/v1/artists/2QHTtUsN6Q13w3QHdfRqsK,2QHTtUsN6Q13w3QHdfRqsK,640,https://i.scdn.co/image/ab67616d0000b27336484b845182eec375dace20,640,300,https://i.scdn.co/image/ab67616d00001e0236484b845182eec375dace20,300,64,https://i.scdn.co/image/ab67616d0000485136484b845182eec375dace20,64,Orange Caramel,46,artist,spotify:artist:2QHTtUsN6Q13w3QHdfRqsK,,,,,,,,,,,,
https://open.spotify.com/artist/5519qQ4H5p0qIIidEWUOB6,,106774,albanian hip hop,albanian pop,https://api.spotify.com/v1/artists/5519qQ4H5p0qIIidEWUOB6,5519qQ4H5p0qIIidEWUOB6,640,https://i.scdn.co/image/1ceb60c669121bb97da30dca56605c9b77c5b927,640,320,https://i.scdn.co/image/99395f8275eedd61dc8688b7241aef8aeddaf1f8,320,160,https://i.scdn.co/image/46110bba16f7ce375c6845faa052ad0bd97a20ec,160,Ledri Vula,55,artist,spotify:artist:5519qQ4H5p0qIIidEWUOB6,kosovan pop,,,,,,,,,,,
https://open.spotify.com/artist/7o30ZHbzQe9mDG8LbmmSel,,21118,deep latin alternative,korean pop,https://api.spotify.com/v1/artists/7o30ZHbzQe9mDG8LbmmSel,7o30ZHbzQe9mDG8LbmmSel,640,https://i.scdn.co/image/ab67616d0000b273b4a8b1bb2a7d3afcc1ff4555,640,300,https://i.scdn.co/image/ab67616d00001e02b4a8b1bb2a7d3afcc1ff4555,300,64,https://i.scdn.co/image/ab67616d00004851b4a8b1bb2a7d3afcc1ff4555,64,Elaine,51,artist,spotify:artist:7o30ZHbzQe9mDG8LbmmSel,,,,,,,,,,,,
https://open.spotify.com/artist/4rmlD2kScuttioQsraasZn,,9893,chinese r&b,korean pop,https://api.spotify.com/v1/artists/4rmlD2kScuttioQsraasZn,4rmlD2kScuttioQsraasZn,640,https://i.scdn.co/image/d78216c61482ef19e0343c6d7592c90e36f4dd67,640,320,https://i.scdn.co/image/441637ac71a516bfc400fa1686f285ea21d75cee,320,160,https://i.scdn.co/image/15b15ead575065a373be9d4ea46adfdf5aa34191,160,Sophiya,43,artist,spotify:artist:4rmlD2kScuttioQsraasZn,korean r&b,,,,,,,,,,,
https://open.spotify.com/artist/6Jj218qsLCZlYHwRGbXEGZ,,53412,k-indie,k-pop,https://api.spotify.com/v1/artists/6Jj218qsLCZlYHwRGbXEGZ,6Jj218qsLCZlYHwRGbXEGZ,640,https://i.scdn.co/image/ab67616d0000b27309740fd1a552a03f060231be,640,300,https://i.scdn.co/image/ab67616d00001e0209740fd1a552a03f060231be,300,64,https://i.scdn.co/image/ab67616d0000485109740fd1a552a03f060231be,64,J_ust,51,artist,spotify:artist:6Jj218qsLCZlYHwRGbXEGZ,korean pop,,,,,,,,,,,
